ticket_id,process,base_material_from,base_material_to,position_coverage_label,position_coverage,min_thickness_mm,max_thickness_mm,backing_coverage,weld_progression_coverage,allowed_filler_class,pwht_capable,pwht_temperature_range_c,application_type_coverage,full_or_limited_range,requires_special_endorsement,active_status,notes
Q-SYN-027,SMAW,P-No. 8 Group 1,P-No. 8 Group 1,Restricted,3G|4G,1.5,8.0,With|Without,Vertical Uphill,E308L-16,False,NA,Production|Maintenance,Limited,False,Inactive,Synthetic support ticket
Q-SYN-028,SMAW,P-No. 1 Group 1/2,P-No. 8 Group 1,Restricted,3G|4G,1.5,19.0,With|Without,Vertical Uphill,E309L-16,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-029,GTAW,P-No. 1 Group 1/2,P-No. 8 Group 1,Restricted,1G|1F,1.5,12.0,With|Without,Vertical Uphill,ER309L,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-030,SMAW,P-No. 8 Group 1,P-No. 8 Group 1,All,5G|6G,1.5,38.0,With|Without,Vertical Uphill,E308L-16,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-031,GTAW,P-No. 8 Group 1,P-No. 8 Group 1,All,1G|2G|3G|4G|5G|6G,1.5,19.0,With|Without,Vertical Uphill,ER308L,False,NA,Production|Maintenance,Full range,False,Inactive,Synthetic support ticket
Q-SYN-032,GTAW+SMAW,P-No. 5A Group 1,P-No. 5A Group 1,Restricted,2G|3G|4G,1.5,38.0,With|Without,Vertical Uphill,ER90S-B3|E9018-B3,True,595-675,Production|Maintenance,Limited,True,Active,Synthetic support ticket
Q-SYN-033,SMAW,P-No. 8 Group 1,P-No. 8 Group 1,Restricted,2G|3G|4G,1.5,38.0,With|Without,Vertical Uphill,E308L-16,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-034,SMAW,P-No. 8 Group 1,P-No. 8 Group 1,All,5G|6G,1.5,8.0,With|Without,Vertical Uphill,E308L-16,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-035,GTAW+SMAW,P-No. 5A Group 1,P-No. 5A Group 1,Restricted,1G|2G,1.5,38.0,With|Without,Vertical Uphill,ER90S-B3|E9018-B3,True,595-675,Production|Maintenance,Limited,True,Active,Synthetic support ticket
Q-SYN-036,GTAW+SMAW,P-No. 5A Group 1,P-No. 5A Group 1,All,1G|2G|3G|4G|5G|6G,1.5,12.0,With|Without,Vertical Uphill,ER90S-B3|E9018-B3,True,595-675,Production|Maintenance,Full range,True,Active,Synthetic support ticket
