job_id,work_order,wps_id,job_description,base_material_from,base_material_to,thickness_mm,required_position,required_progression,backing_required,application_type,shift,priority,due_date,location,inspection_required,qc_hold_point,requires_notch_toughness,status
JOB-011,WO-260411,WPS-002,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,21.4,3G,Vertical Uphill,As per design document,Production,B,High,2026-05-15,Bay 1,False,QA witness hold,True,Needs assignment
JOB-012,WO-260412,WPS-005,Stainless steel / P8 to P8 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,9.3,4G,Vertical Uphill,As per design document,Pressure-retaining,B,Low,2026-05-02,Field Maintenance,True,QA witness hold,False,Needs assignment
JOB-013,WO-260413,WPS-004,Stainless steel / P8 to P8 SMAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,25.6,2G,Vertical Uphill,With,Pressure-retaining,B,High,2026-05-17,Bay 2,True,Dimensional check,False,Needs assignment
JOB-014,WO-260414,WPS-012,SS 304L tube to tube GTAW weld package,P-No. 8 Tube,P-No. 8 Tube,4.4,Tube,Vertical Uphill,With,Maintenance,B,Low,2026-05-08,Bay 3,True,Visual before release,False,Needs assignment
JOB-015,WO-260415,WPS-008,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,8.5,6G,Vertical Uphill,As per design document,Pressure-retaining,A,High,2026-05-18,Field Maintenance,True,QA witness hold,True,Needs assignment
JOB-016,WO-260416,WPS-002,Carbon steel / P1 to P1 SMAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,23.5,1G,Vertical Uphill,Without,Production,C,High,2026-05-13,Bay 3,True,Dimensional check,False,Needs assignment
JOB-017,WO-260417,WPS-007,Dissimilar P1 to P8 GTAW weld package,P-No. 1 Group 1/2,P-No. 8 Group 1,14.3,5G,Vertical Uphill,As per design document,Maintenance,A,Critical,2026-05-03,QA Hold Area,False,Dimensional check,False,Needs assignment
JOB-018,WO-260418,WPS-009,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,25.5,3G,Vertical Uphill,With,Maintenance,B,Critical,2026-04-28,QA Hold Area,False,QA witness hold,True,Needs assignment
JOB-019,WO-260419,WPS-007,Dissimilar P1 to P8 GTAW weld package,P-No. 1 Group 1/2,P-No. 8 Group 1,23.0,6G,Vertical Uphill,With,Maintenance,B,Critical,2026-05-13,QA Hold Area,True,NDE per inspection plan,False,Needs assignment
JOB-020,WO-260420,WPS-011,Low alloy P5A to P5A GTAW+SMAW weld package,P-No. 5A Group 1,P-No. 5A Group 1,21.1,5G,Vertical Uphill,Without,Pressure-retaining,C,Medium,2026-05-07,QA Hold Area,True,QA witness hold,False,Needs assignment
JOB-021,WO-260421,WPS-010,Carbon steel to nickel alloy GTAW weld package,P-No. 1 Group 1/2,P-No. 43,7.5,2G,Vertical Uphill,As per design document,Production,B,Medium,2026-04-30,QA Hold Area,False,NDE per inspection plan,False,Needs assignment
JOB-022,WO-260422,WPS-009,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,22.3,1G,Vertical Uphill,Without,Pressure-retaining,C,Medium,2026-05-14,Field Maintenance,True,Visual before release,False,Needs assignment
JOB-023,WO-260423,WPS-011,Low alloy P5A to P5A GTAW+SMAW weld package,P-No. 5A Group 1,P-No. 5A Group 1,10.2,6G,Vertical Uphill,With,Maintenance,B,Critical,2026-04-30,Module Shop,False,QA witness hold,False,Needs assignment
JOB-024,WO-260424,WPS-005,Stainless steel / P8 to P8 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,3.4,2G,Vertical Uphill,As per design document,Production,C,Low,2026-04-29,Field Maintenance,True,NDE per inspection plan,True,Needs assignment
JOB-025,WO-260425,WPS-011,Low alloy P5A to P5A GTAW+SMAW weld package,P-No. 5A Group 1,P-No. 5A Group 1,15.0,3G,Vertical Uphill,With,Pressure-retaining,C,Low,2026-05-01,QA Hold Area,True,Dimensional check,False,Needs assignment
JOB-026,WO-260426,WPS-010,Carbon steel to nickel alloy GTAW weld package,P-No. 1 Group 1/2,P-No. 43,23.6,4G,Vertical Uphill,As per design document,Production,B,High,2026-05-18,Module Shop,True,NDE per inspection plan,False,Needs assignment
JOB-027,WO-260427,WPS-005,Stainless steel / P8 to P8 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,22.7,3G,Vertical Uphill,Without,Production,B,Low,2026-05-09,Bay 1,True,NDE per inspection plan,False,Needs assignment
JOB-028,WO-260428,WPS-004,Stainless steel / P8 to P8 SMAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,29.4,5G,Vertical Uphill,As per design document,Production,A,Medium,2026-05-19,Bay 2,True,Dimensional check,True,Needs assignment
JOB-029,WO-260429,WPS-010,Carbon steel to nickel alloy GTAW weld package,P-No. 1 Group 1/2,P-No. 43,21.3,3G,Vertical Uphill,With,Maintenance,A,Critical,2026-05-15,Bay 3,True,NDE per inspection plan,False,Needs assignment
JOB-030,WO-260430,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,8.6,3G,Vertical Uphill,Without,Maintenance,C,Critical,2026-05-17,Field Maintenance,False,QA witness hold,True,Needs assignment
JOB-031,WO-260431,WPS-010,Carbon steel to nickel alloy GTAW weld package,P-No. 1 Group 1/2,P-No. 43,13.7,6G,Vertical Uphill,As per design document,Production,B,Medium,2026-05-15,QA Hold Area,True,Dimensional check,False,Needs assignment
JOB-032,WO-260432,WPS-002,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,26.6,3G,Vertical Uphill,As per design document,Pressure-retaining,A,Low,2026-05-16,Bay 1,False,QA witness hold,False,Needs assignment
JOB-033,WO-260433,WPS-007,Dissimilar P1 to P8 GTAW weld package,P-No. 1 Group 1/2,P-No. 8 Group 1,3.5,2G,Vertical Uphill,As per design document,Pressure-retaining,B,Low,2026-04-30,Field Maintenance,False,NDE per inspection plan,False,Needs assignment
JOB-034,WO-260434,WPS-010,Carbon steel to nickel alloy GTAW weld package,P-No. 1 Group 1/2,P-No. 43,4.3,4G,Vertical Uphill,With,Maintenance,C,Medium,2026-04-28,Bay 1,True,Visual before release,False,Needs assignment
JOB-035,WO-260435,WPS-011,Low alloy P5A to P5A GTAW+SMAW weld package,P-No. 5A Group 1,P-No. 5A Group 1,19.4,4G,Vertical Uphill,As per design document,Pressure-retaining,C,Medium,2026-05-13,Bay 1,True,NDE per inspection plan,False,Needs assignment
JOB-036,WO-260436,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,16.4,4G,Vertical Uphill,With,Pressure-retaining,A,Critical,2026-05-09,Bay 3,True,QA witness hold,False,Needs assignment
JOB-037,WO-260437,WPS-010,Carbon steel to nickel alloy GTAW weld package,P-No. 1 Group 1/2,P-No. 43,22.5,2G,Vertical Uphill,Without,Pressure-retaining,B,High,2026-05-03,Field Maintenance,False,NDE per inspection plan,True,Needs assignment
JOB-038,WO-260438,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,8.6,2G,Vertical Uphill,With,Pressure-retaining,C,Critical,2026-05-06,Module Shop,True,QA witness hold,False,Needs assignment
JOB-039,WO-260439,WPS-009,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,27.7,6G,Vertical Uphill,With,Maintenance,C,Low,2026-05-09,Module Shop,False,NDE per inspection plan,False,Needs assignment
JOB-040,WO-260440,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,4.9,2G,Vertical Uphill,As per design document,Maintenance,A,Low,2026-05-09,Bay 2,False,Dimensional check,False,Needs assignment
JOB-041,WO-260441,WPS-007,Dissimilar P1 to P8 GTAW weld package,P-No. 1 Group 1/2,P-No. 8 Group 1,9.7,5G,Vertical Uphill,With,Production,C,High,2026-05-13,Bay 3,False,NDE per inspection plan,False,Needs assignment
JOB-042,WO-260442,WPS-011,Low alloy P5A to P5A GTAW+SMAW weld package,P-No. 5A Group 1,P-No. 5A Group 1,4.7,5G,Vertical Uphill,As per design document,Maintenance,C,High,2026-05-03,Bay 1,True,NDE per inspection plan,False,Needs assignment
JOB-043,WO-260443,WPS-008,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,11.1,3G,Vertical Uphill,As per design document,Pressure-retaining,A,High,2026-05-15,Bay 2,True,QA witness hold,False,Needs assignment
JOB-044,WO-260444,WPS-002,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,39.6,6G,Vertical Uphill,With,Maintenance,A,Low,2026-05-13,Bay 1,False,Visual before release,True,Needs assignment
JOB-045,WO-260445,WPS-006,Dissimilar P1 to P8 SMAW weld package,P-No. 1 Group 1/2,P-No. 8 Group 1,11.0,2G,Vertical Uphill,As per design document,Maintenance,B,High,2026-04-28,QA Hold Area,True,QA witness hold,True,Needs assignment
JOB-046,WO-260446,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,17.4,5G,Vertical Uphill,Without,Production,B,Critical,2026-05-02,QA Hold Area,False,Visual before release,False,Needs assignment
JOB-047,WO-260447,WPS-004,Stainless steel / P8 to P8 SMAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,3.7,3G,Vertical Uphill,With,Maintenance,C,Critical,2026-05-15,Field Maintenance,True,Dimensional check,True,Needs assignment
JOB-048,WO-260448,WPS-007,Dissimilar P1 to P8 GTAW weld package,P-No. 1 Group 1/2,P-No. 8 Group 1,14.7,3G,Vertical Uphill,As per design document,Maintenance,A,High,2026-04-28,Bay 1,False,Dimensional check,False,Needs assignment
JOB-049,WO-260449,WPS-008,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,1.6,1G,Vertical Uphill,Without,Maintenance,A,Critical,2026-05-13,Field Maintenance,True,NDE per inspection plan,True,Needs assignment
JOB-050,WO-260450,WPS-008,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,23.0,1G,Vertical Uphill,As per design document,Pressure-retaining,B,Low,2026-05-03,Field Maintenance,True,QA witness hold,False,Needs assignment
JOB-051,WO-260451,WPS-010,Carbon steel to nickel alloy GTAW weld package,P-No. 1 Group 1/2,P-No. 43,2.7,4G,Vertical Uphill,Without,Production,C,Medium,2026-05-08,QA Hold Area,True,QA witness hold,False,Needs assignment
JOB-052,WO-260452,WPS-002,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,29.0,3G,Vertical Uphill,As per design document,Maintenance,C,Low,2026-05-07,QA Hold Area,True,NDE per inspection plan,True,Needs assignment
JOB-053,WO-260453,WPS-002,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,25.7,4G,Vertical Uphill,With,Maintenance,A,Low,2026-05-05,QA Hold Area,False,Dimensional check,False,Needs assignment
JOB-054,WO-260454,WPS-006,Dissimilar P1 to P8 SMAW weld package,P-No. 1 Group 1/2,P-No. 8 Group 1,3.8,1G,Vertical Uphill,Without,Production,A,Low,2026-05-10,QA Hold Area,True,Dimensional check,True,Needs assignment
JOB-055,WO-260455,WPS-005,Stainless steel / P8 to P8 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,3.1,2G,Vertical Uphill,As per design document,Production,C,High,2026-05-17,Module Shop,False,QA witness hold,False,Needs assignment
JOB-056,WO-260456,WPS-001,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,2.3,4G,Vertical Uphill,With,Maintenance,A,High,2026-05-14,Bay 3,True,Dimensional check,False,Needs assignment
JOB-057,WO-260457,WPS-005,Stainless steel / P8 to P8 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,19.9,6G,Vertical Uphill,With,Maintenance,A,High,2026-05-14,Bay 3,True,Visual before release,False,Needs assignment
JOB-058,WO-260458,WPS-009,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,21.1,2G,Vertical Uphill,With,Production,A,Low,2026-05-16,Bay 3,False,Dimensional check,False,Needs assignment
JOB-059,WO-260459,WPS-005,Stainless steel / P8 to P8 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,9.7,3G,Vertical Uphill,As per design document,Maintenance,C,Low,2026-05-04,Bay 3,True,Visual before release,False,Needs assignment
JOB-060,WO-260460,WPS-009,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,29.7,2G,Vertical Uphill,Without,Maintenance,B,Medium,2026-05-04,QA Hold Area,True,NDE per inspection plan,False,Needs assignment
JOB-061,WO-260461,WPS-004,Stainless steel / P8 to P8 SMAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,21.7,5G,Vertical Uphill,Without,Production,B,Low,2026-05-19,Bay 3,True,NDE per inspection plan,False,Needs assignment
JOB-062,WO-260462,WPS-001,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,15.5,2G,Vertical Uphill,Without,Pressure-retaining,A,Critical,2026-05-09,Bay 2,True,Dimensional check,False,Needs assignment
JOB-063,WO-260463,WPS-005,Stainless steel / P8 to P8 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,3.0,1G,Vertical Uphill,As per design document,Maintenance,C,Critical,2026-05-05,Bay 2,True,Visual before release,False,Needs assignment
JOB-064,WO-260464,WPS-012,SS 304L tube to tube GTAW weld package,P-No. 8 Tube,P-No. 8 Tube,3.0,Tube,Vertical Uphill,With,Pressure-retaining,C,Low,2026-04-29,Bay 1,True,Dimensional check,False,Needs assignment
JOB-065,WO-260465,WPS-005,Stainless steel / P8 to P8 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,10.2,2G,Vertical Uphill,As per design document,Pressure-retaining,C,Medium,2026-05-14,Module Shop,False,Dimensional check,False,Needs assignment
JOB-066,WO-260466,WPS-002,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,24.7,4G,Vertical Uphill,As per design document,Pressure-retaining,C,Medium,2026-05-18,Field Maintenance,True,QA witness hold,False,Needs assignment
JOB-067,WO-260467,WPS-010,Carbon steel to nickel alloy GTAW weld package,P-No. 1 Group 1/2,P-No. 43,20.9,2G,Vertical Uphill,Without,Pressure-retaining,B,Critical,2026-05-12,QA Hold Area,True,NDE per inspection plan,False,Needs assignment
JOB-068,WO-260468,WPS-002,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,20.7,2G,Vertical Uphill,As per design document,Maintenance,B,Medium,2026-05-07,Module Shop,True,Visual before release,True,Needs assignment
JOB-069,WO-260469,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,9.4,5G,Vertical Uphill,Without,Pressure-retaining,C,Medium,2026-05-15,Field Maintenance,False,Visual before release,False,Needs assignment
JOB-070,WO-260470,WPS-008,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,7.6,4G,Vertical Uphill,Without,Production,C,Medium,2026-04-28,Bay 2,False,NDE per inspection plan,False,Needs assignment
JOB-071,WO-260471,WPS-008,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,5.6,6G,Vertical Uphill,As per design document,Pressure-retaining,B,Critical,2026-05-06,Module Shop,False,Dimensional check,True,Needs assignment
JOB-072,WO-260472,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,15.7,2G,Vertical Uphill,With,Pressure-retaining,C,High,2026-05-07,Bay 2,True,Dimensional check,False,Needs assignment
JOB-073,WO-260473,WPS-011,Low alloy P5A to P5A GTAW+SMAW weld package,P-No. 5A Group 1,P-No. 5A Group 1,25.2,6G,Vertical Uphill,With,Pressure-retaining,A,Low,2026-05-06,Field Maintenance,True,QA witness hold,False,Needs assignment
JOB-074,WO-260474,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,21.6,5G,Vertical Uphill,Without,Pressure-retaining,A,Low,2026-05-14,Bay 2,False,Visual before release,True,Needs assignment
JOB-075,WO-260475,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,21.5,3G,Vertical Uphill,As per design document,Maintenance,B,Critical,2026-05-01,Bay 2,True,Dimensional check,False,Needs assignment
JOB-076,WO-260476,WPS-004,Stainless steel / P8 to P8 SMAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,21.1,1G,Vertical Uphill,As per design document,Pressure-retaining,A,High,2026-05-11,QA Hold Area,True,QA witness hold,False,Needs assignment
JOB-077,WO-260477,WPS-005,Stainless steel / P8 to P8 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,26.1,2G,Vertical Uphill,Without,Maintenance,A,Critical,2026-05-07,Bay 3,True,QA witness hold,False,Needs assignment
JOB-078,WO-260478,WPS-003,Carbon steel / P1 to P1 GTAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,4.8,2G,Vertical Uphill,As per design document,Pressure-retaining,C,Critical,2026-05-05,Module Shop,False,Dimensional check,True,Needs assignment
JOB-079,WO-260479,WPS-008,Carbon steel / P1 to P1 GTAW+SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,20.8,4G,Vertical Uphill,Without,Maintenance,A,High,2026-05-07,Module Shop,True,Visual before release,False,Needs assignment
JOB-080,WO-260480,WPS-001,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,18.2,5G,Vertical Uphill,With,Pressure-retaining,A,Medium,2026-05-06,Field Maintenance,True,Visual before release,True,Needs assignment
